time,current,voltage,soc
0.000000,1.000000,4.085000,1.000000
1.000000,1.000000,4.084471,0.999879
2.000000,1.000000,4.083959,0.999758
3.000000,1.000000,4.083463,0.999638
4.000000,1.000000,4.082982,0.999517
5.000000,1.000000,4.082515,0.999396
6.000000,1.000000,4.082063,0.999275
7.000000,1.000000,4.081625,0.999155
8.000000,1.000000,4.081199,0.999034
9.000000,1.000000,4.080786,0.998913
10.000000,1.000000,4.080385,0.998792
11.000000,1.000000,4.079995,0.998671
12.000000,1.000000,4.079616,0.998551
13.000000,1.000000,4.079247,0.998430
14.000000,1.000000,4.078889,0.998309
15.000000,1.000000,4.078541,0.998188
16.000000,1.000000,4.078201,0.998068
17.000000,1.000000,4.077871,0.997947
18.000000,1.000000,4.077549,0.997826
19.000000,1.000000,4.077236,0.997705
20.000000,1.000000,4.076930,0.997585
21.000000,1.000000,4.076632,0.997464
22.000000,1.000000,4.076341,0.997343
23.000000,1.000000,4.076057,0.997222
24.000000,1.000000,4.075779,0.997101
25.000000,1.000000,4.075508,0.996981
26.000000,1.000000,4.075244,0.996860
27.000000,1.000000,4.074985,0.996739
28.000000,1.000000,4.074731,0.996618
29.000000,1.000000,4.074483,0.996498
30.000000,1.000000,4.074241,0.996377
31.000000,1.000000,4.074003,0.996256
32.000000,1.000000,4.073770,0.996135
33.000000,1.000000,4.073541,0.996014
34.000000,1.000000,4.073317,0.995894
35.000000,1.000000,4.073097,0.995773
36.000000,1.000000,4.072882,0.995652
37.000000,1.000000,4.072670,0.995531
38.000000,1.000000,4.072461,0.995411
39.000000,1.000000,4.072257,0.995290
40.000000,1.000000,4.072056,0.995169
41.000000,1.000000,4.071858,0.995048
42.000000,1.000000,4.071663,0.994928
43.000000,1.000000,4.071471,0.994807
44.000000,1.000000,4.071282,0.994686
45.000000,1.000000,4.071096,0.994565
46.000000,1.000000,4.070912,0.994444
47.000000,1.000000,4.070731,0.994324
48.000000,1.000000,4.070553,0.994203
49.000000,1.000000,4.070377,0.994082
50.000000,1.000000,4.070203,0.993961
51.000000,1.000000,4.070031,0.993841
52.000000,1.000000,4.069861,0.993720
53.000000,1.000000,4.069694,0.993599
54.000000,1.000000,4.069528,0.993478
55.000000,1.000000,4.069364,0.993357
56.000000,1.000000,4.069202,0.993237
57.000000,1.000000,4.069041,0.993116
58.000000,1.000000,4.068882,0.992995
59.000000,1.000000,4.068725,0.992874
60.000000,1.000000,4.068569,0.992754
61.000000,1.000000,4.068415,0.992633
62.000000,1.000000,4.068262,0.992512
63.000000,1.000000,4.068110,0.992391
64.000000,1.000000,4.067959,0.992271
65.000000,1.000000,4.067810,0.992150
66.000000,1.000000,4.067662,0.992029
67.000000,1.000000,4.067515,0.991908
68.000000,1.000000,4.067369,0.991787
69.000000,1.000000,4.067224,0.991667
70.000000,1.000000,4.067080,0.991546
71.000000,1.000000,4.066937,0.991425
72.000000,1.000000,4.066795,0.991304
73.000000,1.000000,4.066653,0.991184
74.000000,1.000000,4.066513,0.991063
75.000000,1.000000,4.066373,0.990942
76.000000,1.000000,4.066234,0.990821
77.000000,1.000000,4.066096,0.990700
78.000000,1.000000,4.065959,0.990580
79.000000,1.000000,4.065822,0.990459
80.000000,1.000000,4.065686,0.990338
81.000000,1.000000,4.065550,0.990217
82.000000,1.000000,4.065415,0.990097
83.000000,1.000000,4.065281,0.989976
84.000000,1.000000,4.065147,0.989855
85.000000,1.000000,4.065013,0.989734
86.000000,1.000000,4.064881,0.989614
87.000000,1.000000,4.064748,0.989493
88.000000,1.000000,4.064616,0.989372
89.000000,1.000000,4.064485,0.989251
90.000000,1.000000,4.064354,0.989130
91.000000,1.000000,4.064223,0.989010
92.000000,1.000000,4.064093,0.988889
93.000000,1.000000,4.063963,0.988768
94.000000,1.000000,4.063834,0.988647
95.000000,1.000000,4.063704,0.988527
96.000000,1.000000,4.063576,0.988406
97.000000,1.000000,4.063447,0.988285
98.000000,1.000000,4.063319,0.988164
99.000000,1.000000,4.063191,0.988043
100.000000,2.000000,4.048063,0.987923
101.000000,2.000000,4.047407,0.987681
102.000000,2.000000,4.046767,0.987440
103.000000,2.000000,4.046143,0.987198
104.000000,2.000000,4.045536,0.986957
105.000000,2.000000,4.044943,0.986715
106.000000,2.000000,4.044364,0.986473
107.000000,2.000000,4.043799,0.986232
108.000000,2.000000,4.043247,0.985990
109.000000,2.000000,4.042708,0.985749
110.000000,2.000000,4.042181,0.985507
111.000000,2.000000,4.041665,0.985266
112.000000,2.000000,4.041161,0.985024
113.000000,2.000000,4.040667,0.984783
114.000000,2.000000,4.040184,0.984541
115.000000,2.000000,4.039710,0.984300
116.000000,2.000000,4.039246,0.984058
117.000000,2.000000,4.038791,0.983816
118.000000,2.000000,4.038345,0.983575
119.000000,2.000000,4.037907,0.983333
120.000000,2.000000,4.037477,0.983092
121.000000,2.000000,4.037054,0.982850
122.000000,2.000000,4.036639,0.982609
123.000000,2.000000,4.036231,0.982367
124.000000,2.000000,4.035829,0.982126
125.000000,2.000000,4.035435,0.981884
126.000000,2.000000,4.035046,0.981643
127.000000,2.000000,4.034663,0.981401
128.000000,2.000000,4.034286,0.981159
129.000000,2.000000,4.033915,0.980918
130.000000,2.000000,4.033548,0.980676
131.000000,2.000000,4.033187,0.980435
132.000000,2.000000,4.032831,0.980193
133.000000,2.000000,4.032479,0.979952
134.000000,2.000000,4.032132,0.979710
135.000000,2.000000,4.031789,0.979469
136.000000,2.000000,4.031450,0.979227
137.000000,2.000000,4.031115,0.978986
138.000000,2.000000,4.030784,0.978744
139.000000,2.000000,4.030456,0.978502
